match_id,team_id,halfspace_kill_chains,halfspace_defensive_recoveries,halfspace_to_box_progressions,zone14_second_ball_duration,zone14_recoveries,zone14_shot_generation_events,pressing_chain_total_engagements,pressing_chains_leading_to_regain,deep_pressing_chain_engagements,pressing_chain_length_sum,force_backward_engagements,consecutive_engagement_events,defensive_to_attacking_third_chains,line_breaking_passes_total,opponents_bypassed_total_positive,forward_carries_total,one_touch_passes_in_final_third,quick_passes_total,high_passes_total,build_up_to_create_transitions,total_possession_duration_attacking_third,penalty_area_entries,wide_channel_possession_events,center_channel_possession_events,territorial_gain_distance,total_separation_gained,dangerous_passing_options_created,difficult_dangerous_options_created,off_ball_runs_into_box,off_ball_runs_behind_defense,give_and_go_initiations,shot_generating_possessions,goal_generating_possessions,xthreat_accumulated,xshot_accumulated,long_diagonal_switches,overlap_underlap_runs_received,pulling_wide_or_halfspace_runs
1886347,1805,0,42,0,0.0,1,3,147,5,6,127,44,91,11,37,555,92,17,111,14,30,369.8,3,203,117,917.95,54.78,15,63,15,25,14,19,0,1.6831,12.466,5,2,27
1886347,4177,0,45,2,50.1,4,3,231,16,5,184,22,79,10,60,724,95,46,110,21,16,765.9,8,225,125,921.59,41.74,42,129,61,17,26,40,6,4.0922,30.434,6,6,36
1899585,867,0,68,2,0.0,0,1,94,11,2,74,16,112,11,50,668,80,31,99,29,20,459.2,6,176,118,864.98,43.05,41,100,31,24,14,13,2,3.3849,21.045,5,4,18
1899585,4177,0,72,6,7.5,3,4,168,18,3,134,33,74,9,34,539,87,54,89,29,10,733.2,13,227,107,849.81,76.16,71,100,40,7,25,50,1,3.5303,33.119,7,9,22
1925299,871,3,72,4,15.3,3,3,137,13,0,111,34,101,13,36,532,74,18,72,25,25,439.1,3,156,116,886.16,65.14,49,68,31,4,16,26,4,2.8791,23.604,5,4,19
1925299,1802,1,56,10,4.0,3,6,130,11,2,114,29,57,8,57,776,123,39,137,22,22,790.7,6,278,167,1164.86,81.69,92,136,28,7,28,42,0,4.5229,33.932,11,3,40
1953632,870,0,51,2,2.8,2,4,195,11,7,176,35,79,6,50,528,40,13,61,28,22,181.8,0,152,76,323.77,28.53,19,31,4,9,10,9,1,1.2798,9.007,10,1,14
1953632,2380,0,33,0,2.0,2,5,163,14,0,140,34,58,10,57,664,117,21,140,27,26,716.4,3,266,192,1206.7,78.22,39,89,28,27,18,23,1,2.8135,19.457,12,4,38
1996435,866,0,46,3,7.4,1,2,204,19,6,169,28,143,17,46,684,94,30,101,20,28,580.5,12,197,144,960.5,48.01,64,89,40,24,16,35,4,4.602,26.983,4,4,26
1996435,869,0,76,8,16.4,3,7,222,22,3,182,22,99,17,43,742,106,53,96,31,30,829.1,11,245,150,1175.71,60.97,61,120,33,17,27,42,15,4.7308,40.478,8,5,12
2006229,1804,0,53,2,0.0,0,1,202,11,5,171,48,120,6,48,575,55,13,54,28,22,236.9,1,184,112,587.51,47.3,27,50,16,11,16,10,0,1.7793,8.052,7,2,28
2006229,2380,0,59,6,34.3,4,4,218,26,9,184,25,78,11,43,688,107,36,114,30,26,692.2,3,256,137,1163.66,63.02,66,125,46,41,19,31,3,4.5112,23.458,8,4,34
2011166,867,1,53,4,0.0,0,5,84,6,3,70,16,71,10,32,493,59,31,61,25,20,470.8,2,175,76,759.35,30.4,30,79,32,21,12,24,7,3.0417,13.066,5,3,14
2011166,868,2,47,6,22.0,3,9,118,14,5,90,11,68,7,18,549,91,42,56,33,10,680.3,10,204,94,1128.86,52.05,81,110,41,11,16,56,4,3.1825,48.501,14,4,21
2013725,869,0,76,3,10.1,2,5,181,19,2,135,22,78,9,76,786,83,35,98,32,14,642.5,4,252,118,852.55,52.31,56,115,22,30,14,24,0,4.5187,26.356,5,3,9
2013725,1803,0,69,1,31.9,4,8,158,16,2,127,28,95,8,29,618,82,32,100,28,20,528.4,3,175,149,812.75,89.38,54,116,28,23,18,41,4,3.7438,21.061,7,4,25
2015213,1803,0,59,1,4.4,2,6,191,19,2,157,34,59,12,45,586,73,28,71,35,23,412.6,5,166,118,753.73,51.49,46,75,21,22,20,26,14,3.6663,22.003,3,2,19
2015213,4177,0,64,0,3.0,2,4,134,13,2,118,21,69,9,59,636,73,28,98,37,20,468.4,3,241,116,729.71,52.81,30,74,24,15,20,28,4,2.2358,20.34,9,3,50
2017461,868,0,68,2,11.5,2,6,60,3,2,45,8,41,7,54,665,89,38,79,22,14,730.8,7,234,115,1013.96,68.39,75,84,26,8,15,31,0,3.36,25.228,6,3,24
2017461,4177,0,89,1,1.8,2,4,111,10,3,97,20,101,11,25,476,64,27,52,22,6,534.9,7,163,66,654.48,37.5,38,92,33,20,16,28,2,2.7173,18.139,3,6,16
